Title,Year,Mileage/Km,Price,Brand
Mercedes-Benz E-Class E350e Plug-in Hybrid Avantgarde,2018,73183,169888,Mercedes-Benz
MINI Cooper S 1.6A Sunroof (COE till 10/2029),2009,170000,61988,MINI
Toyota Dyna 100 3.0M (COE till 06/2027),2007,160500,35800,Toyota
Volkswagen Golf 1.4A TSI Highline Sunroof,2018,52500,89988,Volkswagen
Honda Odyssey 2.4A EXV-S Sunroof,2019,92000,136800,Honda
Kia Cerato K3 1.6A EX,2015,121000,25388,Kia
Toyota Estima 2.4A Aeras Sunroof,2017,87280,122800,Toyota
Toyota C-HR Hybrid 1.8A S,2019,50000,94800,Toyota
Mitsubishi Attrage 1.2A,2019,50500,69988,Mitsubishi
Toyota Hiace 2.8A DX,2019,75627,79800,Toyota
Audi A4 1.4A TFSI S-tronic,2017,123000,83988,Audi
Audi Q3 1.4A TFSI S-Tronic,2020,30500,151000,Audi
Mercedes-Benz C-Class C200 Coupe AMG Line Sunroof,2017,93000,107988,Mercedes-Benz
Kia Cerato K3 1.6A SX,2016,108200,43988,Kia
MINI John Cooper Works GP 2.0A,2021,29000,177888,MINI
Mercedes-Benz A-Class Saloon A180 Progressive,2022,9888,175888,Mercedes-Benz
Audi A3 Sedan 1.4A TFSI CoD S-tronic,2018,96000,99988,Audi
Nissan X-Trail 2.0A 7-Seater Sunroof,2016,81100,61988,Nissan
Toyota Hiace 3.0M,2020,70380,82800,Toyota
Honda Jazz 1.3A,2019,80000,72988,Honda
Honda Fit Hybrid 1.5A F,2019,62000,83988,Honda
Honda Freed Hybrid 1.5A G,2021,32055,141800,Honda
Volvo S60 T2,2017,78158,75800,Volvo
Jaguar E-PACE 2.0A Prestige,2019,87365,125000,Jaguar
Honda Civic 1.6A VTi,2016,88000,55888,Honda
BMW 5 Series 520i,2020,52200,174800,BMW
Mazda 6 2.0A Executive,2018,84000,81888,Mazda
BMW X3 sDrive20i,2019,58748,156800,BMW
Mitsubishi Attrage 1.2A (OPC),2019,18000,67800,Mitsubishi
Nissan Qashqai 1.2A DIG-T,2018,60000,81800,Nissan
Mercedes-Benz B-Class B180 Style,2016,75369,63000,Mercedes-Benz
Nissan Note 1.2A DIG-S (OPC),2017,8042,40800,Nissan
Toyota C-HR Hybrid 1.8A S,2019,56000,94800,Toyota
Mercedes-Benz E-Class E220d Premium,2017,72800,112800,Mercedes-Benz
Mercedes-Benz GLC-Class GLC250 AMG Line 4MATIC,2018,82552,157888,Mercedes-Benz
Volkswagen Sportsvan 1.4A Highline Sunroof,2016,71000,58800,Volkswagen
Lexus RX350 (COE till 08/2030),2010,150000,89800,Lexus
Mazda CX-9 2.5A Turbo,2019,52000,139700,Mazda
Nissan X-Trail 2.0A Premium 7-Seater Sunroof,2018,38000,81700,Nissan
Audi A5 Sportback Mild Hybrid 2.0A TFSI S-tronic,2020,29000,169800,Audi
MINI One 1.5A,2020,54000,115800,MINI
BMW X4 xDrive30i M-Sport,2018,60000,181800,BMW
Honda Grace 1.5A LX,2019,41000,87800,Honda
Subaru XV 2.0i-S EyeSight,2019,72000,96800,Subaru
Honda Shuttle 1.5A G,2017,75000,55888,Honda
Volkswagen Jetta GP 1.4A TSI Highline,2016,112000,44800,Volkswagen
Toyota Corolla Altis 1.6A Standard,2019,50000,86800,Toyota
Honda HR-V 1.5A LX,2019,47507,89800,Honda
Audi A3 Sportback 1.4A TFSI CoD S-tronic,2020,55000,121588,Audi
Mercedes-Benz E-Class E200 Avantgarde,2017,79000,125800,Mercedes-Benz
Honda Odyssey 2.4A Sunroof (COE till 08/2029),2009,176000,69800,Honda
Chevrolet Spark 1.0M (COE till 11/2028),2008,97667,37800,Chevrolet
Subaru Exiga 2.0A GT Moonroof (COE till 10/2028),2008,142000,70800,Subaru
Chevrolet Orlando 1.4A Turbo LS,2016,93000,43800,Chevrolet
Mitsubishi Lancer EX 1.5A Sports (COE till 08/2025),2010,169000,21800,Mitsubishi
Toyota Prius Plus Hybrid 1.8A,2019,78000,102000,Toyota
Mercedes-Benz B-Class B180 (New 10-yr COE),2014,139000,117888,Mercedes-Benz
